record_id,record_type,decision,assembly_score,band,slot_families,slot_assignments,declared_routes,title,source_identity,external_paper_title,external_paper_year,external_paper_venue,external_paper_doi
PEEP-2026-001,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,bridge_action;enumeration_action;fold_action;ledger_action;terminal_action,47;57;67;77;41;51;61;71;43;53;63;73;46;56;66;76;48;58;68;78,FLCR-13;FLCR-24;FLCR-34;FLCR-36;FLCR-37;FLCR-41..80,Fractional Fermi Sea As Occupancy-Rule And Nonequilibrium-State Comparator,RECENT_QUANTUM_EVIDENCE_INTAKE_PASS.json; FLCR-34; FLCR-36; FLCR-37; D-drive source-gap queue,Exotic Critical States as Fractional Fermi Seas in the One-Dimensional Bose Gas,2026,Physical Review Letters,10.1103/j3s5-gjpf
PEEP-2026-002,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;window_action;enumeration_action;fold_action,46;56;66;76;47;57;67;77;49;59;69;79;41;51;61;71;43;53;63;73,FLCR-04;FLCR-08;FLCR-31;FLCR-33;FLCR-38;FLCR-40;FLCR-41..80,Real-Valued Quantum Mechanics As Binary/Real Readout Constraint,FLCR-04; FLCR-08; FLCR-31; FLCR-40; J3(O)/binary invariance discussion,Quantum Mechanics Based on Real Numbers: A Consistent Description,2026,Physical Review Letters,10.1103/4k13-sdjh
PEEP-2026-003,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;enumeration_action;bridge_action;closure_lift;fold_action,46;56;66;76;41;51;61;71;47;57;67;77;40;50;60;70;43;53;63;73,FLCR-06;FLCR-16;FLCR-26;FLCR-36;FLCR-09,Crystal Library Database As Verified-Structure Materials Comparator,D:\CQE_CMPLX\kernel\staging\crystal_library\crystal.db; CAMDB-0013; EXTERNAL_PAIR_QUEUE,MOSAEC-DB: a comprehensive database of experimental metal–organic frameworks with verified chemical accuracy suitable for molecular simulations,2025,Chemical Science,10.1039/D4SC07438F
PEEP-2026-004,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;enumeration_action;fold_action;residual_action,46;56;66;76;47;57;67;77;41;51;61;71;43;53;63;73;42;52;62;72,FLCR-06;FLCR-16;FLCR-26;FLCR-36;FLCR-09,Production Proof Receipts And Ribbon Schema As End-To-End Verification Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite18_cl_paper_db\CL_production-proof-receipts-and-ribbon-schema.md; LOCAL-GAP-0099,A Proof-Producing Compiler for Blockchain Applications,2025,Journal of Automated Reasoning,10.1007/s10817-025-09723-y
PEEP-2026-005,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,carrier_action;ledger_action;fold_action;bridge_action;closure_lift;enumeration_action,46;56;66;76;43;53;63;73;47;57;67;77;40;50;60;70;41;51;61;71;05;15;35;45;55;65;75,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,Jordan J3(O) And Octonion Substrate As Exceptional-Jordan Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite18_cl_paper_db\CL_proof-source-jordan-j3-octonion.md; LOCAL-GAP-0012,The n-point exceptional universe,2025,Journal of Mathematical Physics,10.1063/5.0280632
PEEP-2026-006,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,enumeration_action;ledger_action;fold_action;residual_action;bridge_action,01;11;21;31;06;16;26;36;03;13;23;33;02;12;22;32;07;17;27;37,FLCR-07;FLCR-17;FLCR-27;FLCR-37;FLCR-06,Lattice Forge Inventory As Idempotent-Semiring Basis Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite18_cl_paper_db\CL_proof-source-lattice-forge-inventory.md; LOCAL-GAP-0004,"The finite basis problem for additively idempotent semirings of order four, II",2025,Algebra Universalis,10.1007/s00012-025-00908-5
PEEP-2026-007,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,fold_action;ledger_action;enumeration_action;residual_action;terminal_action,43;53;63;73;46;56;66;76;41;51;61;71;42;52;62;72;48;58;68;78,FLCR-03;FLCR-13;FLCR-23;FLCR-33;FLCR-08,Centroid VOA Verifier As Umbral-Moonshine Module Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\026-umbrella-math-centroid-voa-verifier.md; LOCAL-GAP-0079,"Cone Vertex Algebras, Mock Theta Functions, and Umbral Moonshine Modules",2025,Communications in Mathematical Physics,10.1007/s00220-025-05376-5
PEEP-2026-008,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,fold_action;ledger_action;bridge_action;enumeration_action;residual_action,43;53;63;73;46;56;66;76;47;57;67;77;41;51;61;71;42;52;62;72,FLCR-03;FLCR-13;FLCR-23;FLCR-33;FLCR-08,Pariah Monster Boundary As Umbral Moonshine Pariah Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\029-umbrella-math-pariah-monster-boundary.md; LOCAL-GAP-0087,"Cone Vertex Algebras, Mock Theta Functions, and Umbral Moonshine Modules",2025,Communications in Mathematical Physics,10.1007/s00220-025-05376-5
PEEP-2026-009,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,bridge_action;fold_action;ledger_action;enumeration_action;residual_action,47;57;67;77;43;53;63;73;46;56;66;76;41;51;61;71;42;52;62;72,FLCR-03;FLCR-13;FLCR-23;FLCR-33;FLCR-08,Monster Moonshine D4 Chain As Cone-VOA Module Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\035-umbrella-math-monster-moonshine-d4.md; LOCAL-GAP-0088,"Cone Vertex Algebras, Mock Theta Functions, and Umbral Moonshine Modules",2025,Communications in Mathematical Physics,10.1007/s00220-025-05376-5
PEEP-2026-010,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,bridge_action;fold_action;ledger_action;enumeration_action;residual_action,47;57;67;77;43;53;63;73;46;56;66;76;41;51;61;71;42;52;62;72,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,Chart J3O Isomorphism As Exceptional-Jordan Geometry Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\039-umbrella-math-chart-j3o-isomorphism.md; LOCAL-GAP-0080,The n-point exceptional universe,2025,Journal of Mathematical Physics,10.1063/5.0280632
PEEP-2026-011,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;enumeration_action;fold_action;residual_action,46;56;66;76;47;57;67;77;41;51;61;71;43;53;63;73;42;52;62;72,FLCR-02;FLCR-12;FLCR-22;FLCR-32;FLCR-06,Umbrella Open Obligations As Idempotent-Semifield Overclaim Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\041-claude-real-math-umbrella-open-obligations.md; LOCAL-GAP-0054,Equational theories of idempotent semifields,2025,Bulletin of the London Mathematical Society,10.1112/blms.13228
PEEP-2026-012,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;closure_lift;enumeration_action;fold_action;residual_action,06;16;26;36;00;10;20;30;01;11;21;31;03;13;23;33;02;12;22;32,FLCR-07;FLCR-17;FLCR-27;FLCR-37;FLCR-06,D12 Idempotent Chain Tests As Semicentral-Idempotent Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\043-claude-real-math-d12-idempotent-chain-tests.md; LOCAL-GAP-0058,Idempotent Triangular Matrices over Additively Idempotent Semirings: Decompositions into Products of Semicentral Idempotents,2025,Axioms,10.3390/axioms14020137
